,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1_x,ins,strk1_y,close
5177,80060,FUTSTK,RECLTD,20221229, , ,EF RECLTD 29Dec22,8000,100.65,805200,28182.0,0.0,28182.0,3.5,68751,FUTSTK,0.0,FUTSTK,0.0,0.0
5178,80060,FUTSTK,SAIL,20221124, , ,EF SAIL 24Nov22,6000,82.9,497400,17409.0,117300.0,134709.0,27.08,53897,FUTSTK,0.0,FUTSTK,0.0,78.35
5179,80060,FUTSTK,TATASTEEL,20221229, , ,EF TATASTEEL 29Dec22,4250,107.5,456875,15990.63,97792.5,113783.13,24.9,68778,FUTSTK,0.0,FUTSTK,0.0,0.0
5180,80060,FUTSTK,TITAN,20221229, , ,EF TITAN 29Dec22,375,2669.75,1001156,35040.46,158520.0,193560.46,19.33,68786,FUTSTK,0.0,FUTSTK,0.0,0.0
5181,80065,OPTIDX,BANKNIFTY,20221117,42500.00,CE,IO CE BANKNIFTY 17Nov22 42500.0000,-400,42579.9,17031960,340639.2,4436544.0,4777183.2,28.05,46836,OPTIDX,42500.0,OPTIDX,42500.0,0.0
5182,80065,OPTIDX,BANKNIFTY,20221117,42900.00,CE,IO CE BANKNIFTY 17Nov22 42900.0000,-500,42579.9,21289950,425799.0,0.0,425799.0,2.0,35041,OPTIDX,42900.0,OPTIDX,42900.0,0.0
5183,80065,OPTIDX,BANKNIFTY,20221117,42500.00,PE,IO PE BANKNIFTY 17Nov22 42500.0000,-400,42579.9,17031960,340639.2,0.0,340639.2,2.0,46837,OPTIDX,42500.0,OPTIDX,42500.0,0.0
5184,80068,OPTIDX,BANKNIFTY,20221117,41800.00,PE,IO PE BANKNIFTY 17Nov22 41800.0000,-1800,42579.9,76643820,1532876.4,7471367.0,9004243.4,11.75,46814,OPTIDX,41800.0,OPTIDX,41800.0,0.0
5185,80068,OPTIDX,BANKNIFTY,20221117,42700.00,PE,IO PE BANKNIFTY 17Nov22 42700.0000,100,42579.9,4257990,0.0,0.0,0.0,0.0,35009,OPTIDX,42700.0,OPTIDX,42700.0,0.0
5186,80073,OPTIDX,BANKNIFTY,20221117,43000.00,CE,IO CE BANKNIFTY 17Nov22 43000.0000,300,42579.9,12773970,0.0,0.0,0.0,0.0,46844,OPTIDX,43000.0,OPTIDX,43000.0,0.0
5187,80073,OPTSTK,MARUTI,20221124,9200.00,CE,EO CE MARUTI 24Nov22 9200.0000,1100,9170.7,10087770,0.0,0.0,0.0,0.0,105436,OPTSTK,9200.0,OPTSTK,9200.0,662.2
5188,80073,OPTIDX,NIFTY,20221117,18500.00,CE,IO CE NIFTY 17Nov22 18500.0000,1300,18451.85,23987405,0.0,1893047.0,1893047.0,7.89,55170,OPTIDX,18500.0,OPTIDX,18500.0,228.05
5189,80073,OPTIDX,NIFTY,20221117,18600.00,CE,IO CE NIFTY 17Nov22 18600.0000,-2600,18451.85,47974810,959496.2,0.0,959496.2,2.0,55182,OPTIDX,18600.0,OPTIDX,18600.0,204.75
5190,80086,OPTIDX,BANKNIFTY,20221124,43400.00,CE,IO CE BANKNIFTY 24Nov22 43400.0000,-100,42579.9,4257990,85159.8,0.0,85159.8,2.0,38804,OPTIDX,43400.0,OPTIDX,43400.0,682.3
5191,80086,OPTIDX,BANKNIFTY,20221124,41500.00,PE,IO PE BANKNIFTY 24Nov22 41500.0000,-100,42579.9,4257990,85159.8,411905.0,497064.8,11.67,60732,OPTIDX,41500.0,OPTIDX,41500.0,2340.0
5192,80087,OPTSTK,ADANIENT,20221124,3400.00,PE,EO PE ADANIENT 24Nov22 3400.0000,-750,3967.25,2975438,104140.33,-172.5,103967.83,3.49,62478,OPTSTK,3400.0,OPTSTK,3400.0,160.65
5193,80087,OPTSTK,ADANIENT,20221124,3500.00,PE,EO PE ADANIENT 24Nov22 3500.0000,750,3967.25,2975438,0.0,0.0,0.0,0.0,62482,OPTSTK,3500.0,OPTSTK,3500.0,200.35
