,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1,close
1156,30529,OPTSTK,PNB,20230125,52.00,PE,EO PE PNB 25Jan23 52.0000,32000,56.7,1814400,0.0,0.0,0.0,0.0,147468,OPTSTK,52.0,0.55
1157,30529,OPTSTK,ZEEL,20230125,250.00,CE,EO CE ZEEL 25Jan23 250.0000,3000,229.85,689550,0.0,65790.0,65790.0,9.54,154033,OPTSTK,250.0,1.4
1158,30529,OPTSTK,ZEEL,20230125,265.00,CE,EO CE ZEEL 25Jan23 265.0000,-6000,229.85,1379100,48268.5,0.0,48268.5,3.5,154039,OPTSTK,265.0,0.55
1159,30530,FUTSTK,BAJFINANCE,20230125, , ,EF BAJFINANCE 25Jan23,250,5924.15,1481038,51836.33,11260.0,63096.33,4.26,38798,FUTSTK,0.0,5924.15
1160,30530,OPTSTK,BAJFINANCE,20230125,6600.00,CE,EO CE BAJFINANCE 25Jan23 6600.0000,-250,5924.15,1481038,51836.33,0.0,51836.33,3.5,74224,OPTSTK,6600.0,9.8
1161,30530,OPTSTK,BAJFINANCE,20230125,6700.00,CE,EO CE BAJFINANCE 25Jan23 6700.0000,-250,5924.15,1481038,51836.33,0.0,51836.33,3.5,74226,OPTSTK,6700.0,7.3
1162,30530,OPTSTK,BAJFINANCE,20230125,6200.00,PE,EO PE BAJFINANCE 25Jan23 6200.0000,250,5924.15,1481038,0.0,0.0,0.0,0.0,74217,OPTSTK,6200.0,315.05
1163,30530,OPTSTK,CUB,20230125,200.00,CE,EO CE CUB 25Jan23 200.0000,10000,167.0,1670000,0.0,-300.0,-300.0,-0.02,86738,OPTSTK,200.0,0.2
1164,30530,OPTSTK,CUB,20230125,210.00,CE,EO CE CUB 25Jan23 210.0000,-10000,167.0,1670000,58450.0,0.0,58450.0,3.5,86922,OPTSTK,210.0,0.1
1165,30530,FUTSTK,NATIONALUM,20230125, , ,EF NATIONALUM 25Jan23,7500,85.15,638625,44703.75,152625.0,197328.75,30.9,52457,FUTSTK,0.0,85.15
1166,30530,OPTSTK,NATIONALUM,20230125,84.00,CE,EO CE NATIONALUM 25Jan23 84.0000,-15000,85.15,1277250,89407.5,0.0,89407.5,7.0,131021,OPTSTK,84.0,3.15
1167,30530,OPTSTK,NATIONALUM,20230125,76.00,PE,EO PE NATIONALUM 25Jan23 76.0000,7500,85.15,638625,0.0,0.0,0.0,0.0,131006,OPTSTK,76.0,0.3
1168,30531,OPTSTK,BAJFINANCE,20230125,6300.00,CE,EO CE BAJFINANCE 25Jan23 6300.0000,500,5924.15,2962075,0.0,1792.5,1792.5,0.06,74218,OPTSTK,6300.0,27.4
1169,30531,OPTSTK,BAJFINANCE,20230125,6600.00,CE,EO CE BAJFINANCE 25Jan23 6600.0000,500,5924.15,2962075,0.0,0.0,0.0,0.0,74224,OPTSTK,6600.0,9.8
1170,30531,OPTSTK,BAJFINANCE,20230125,7000.00,CE,EO CE BAJFINANCE 25Jan23 7000.0000,-750,5924.15,4443113,155508.96,0.0,155508.96,3.5,74232,OPTSTK,7000.0,4.35
1171,30531,OPTSTK,BANDHANBNK,20230125,270.00,CE,EO CE BANDHANBNK 25Jan23 270.0000,7200,245.8,1769760,0.0,0.0,0.0,0.0,75700,OPTSTK,270.0,1.2
1172,30531,FUTSTK,BEL,20230125, , ,EF BEL 25Jan23,28500,100.8,2872800,100548.0,521208.0,621756.0,21.64,38910,FUTSTK,0.0,100.8
1173,30531,OPTSTK,BEL,20230125,103.00,CE,EO CE BEL 25Jan23 103.0000,-68400,100.8,6894720,241315.2,0.0,241315.2,3.5,78856,OPTSTK,103.0,1.75
1174,30531,OPTSTK,BEL,20230125,90.00,PE,EO PE BEL 25Jan23 90.0000,-11400,100.8,1149120,40219.2,0.0,40219.2,3.5,78593,OPTSTK,90.0,0.2
1175,30531,OPTSTK,BEL,20230125,95.00,PE,EO PE BEL 25Jan23 95.0000,22800,100.8,2298240,0.0,0.0,0.0,0.0,78792,OPTSTK,95.0,0.7
1176,30531,OPTSTK,BHARTIARTL,20230125,800.00,CE,EO CE BHARTIARTL 25Jan23 800.0000,3800,768.5,2920300,0.0,0.0,0.0,0.0,80599,OPTSTK,800.0,3.65
1177,30531,OPTSTK,BHARTIARTL,20230125,830.00,CE,EO CE BHARTIARTL 25Jan23 830.0000,-3800,768.5,2920300,102210.5,152836.0,255046.5,8.73,80625,OPTSTK,830.0,1.4
1178,30531,OPTSTK,BHARTIARTL,20230125,840.00,CE,EO CE BHARTIARTL 25Jan23 840.0000,-3800,768.5,2920300,102210.5,0.0,102210.5,3.5,80627,OPTSTK,840.0,1.1
1179,30531,FUTSTK,BIOCON,20230125, , ,EF BIOCON 25Jan23,9200,252.4,2322080,81272.8,286488.0,367760.8,15.84,42899,FUTSTK,0.0,252.4
1180,30531,OPTSTK,BIOCON,20230125,270.00,CE,EO CE BIOCON 25Jan23 270.0000,-4600,252.4,1161040,40636.4,0.0,40636.4,3.5,81330,OPTSTK,270.0,1.25
1181,30531,OPTSTK,BIOCON,20230125,275.00,CE,EO CE BIOCON 25Jan23 275.0000,-16100,252.4,4063640,142227.4,0.0,142227.4,3.5,81336,OPTSTK,275.0,0.8
