TerminalID,client_code,User_ID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
400064001205110, ,80043, , , , , , ,
400064001209110, ,80107, , , , , , ,
395003001004110, ,ASC049, , , , , , ,
37717, ,80012, , , , , , ,
395001001103113, ,99000, , , , , , ,
34734, ,80048, , , , , , ,
395001001178110, ,70005, , , , , , ,
395001001015110, ,ASC049, , , , , , ,
395001001064110, ,40360, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
400064001005110, ,80120, , , , , , ,
400064001019110, ,80042, , , , , , ,
400001001149110, ,40196, , , , , , ,
395001001007110, ,40011, , , , , , ,
396445001011110, ,40130, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
360001001017110, ,40224, , , , , , ,
37072, ,80001, , , , , , ,
37788, ,80028, , , , , , ,
400064001207110, ,50040, , , , , , ,
395001001184110, ,70007A, , , , , , ,
37072, ,80001, , , , , , ,
395001001185110, ,50092, , , , , , ,
37072, ,80001, , , , , , ,
395001001422110, ,70003, , , , , , ,
395001001002110, ,ASC049, , , , , , ,
395001001177110, ,40232, , , , , , ,
396445001108113, ,40300, , , , , , ,
400064001207110, ,50040, , , , , , ,
38541, ,80041, , , , , , ,
400064001211110, ,80121, , , , , , ,
395001001802122, ,40300, , , , , , ,
37788, ,80028, , , , , , ,
395001001803122, ,40011, , , , , , ,
400064001212110, ,80009, , , , , , ,
37788, ,80028, , , , , , ,
400064001213110, ,80061, , , , , , ,
400086001014110, ,80108, , , , , , ,
395001001020110, ,40102, , , , , , ,
42857, ,80090, , , , , , ,
400064001419110, ,80060, , , , , , ,
38023, ,80057, , , , , , ,
395001001431110, ,70113, , , , , , ,
400064001042110, ,80035, , , , , , ,
37072, ,80001, , , , , , ,
400064001214110, ,80115, , , , , , ,
37072, ,80001, , , , , , ,
400086001015110, ,80068, , , , , , ,
37788, ,80028, , , , , , ,
400064001023110, ,80025, , , , , , ,
111111111111122, ,40195, , , , , , ,
34862, ,80120, , , , , , ,
400086001018110, ,80096, , , , , , ,
395001001189110, ,50094, , , , , , ,
400007001004110, ,80096, , , , , , ,
37072, ,80001, , , , , , ,
400064001014110, ,80031, , , , , , ,
37788, ,80028, , , , , , ,
37717, ,80012, , , , , , ,
38578, ,80090, , , , , , ,
38508, ,80115, , , , , , ,
360001001019110, ,40269, , , , , , ,
395001001197110, ,50098, , , , , , ,
30859, ,30001, , , , , , ,
400064001027110, ,80033, , , , , , ,
400086001004110, ,80118, , , , , , ,
400086001020110, ,80104, , , , , , ,
34859, ,80069, , , , , , ,
400064001006110, ,80081, , , , , , ,
37919, ,80035, , , , , , ,
42360, ,80090, , , , , , ,
395001001198110, ,50100, , , , , , ,
395001001199110, ,50101, , , , , , ,
400064001032110, ,80080, , , , , , ,
400084001002110, ,80076, , , , , , ,
396445001006110, ,40177, , , , , , ,
400064001203110, ,80109, , , , , , ,
111111111111122, ,80122, , , , , , ,
400064001909110, ,80085, , , , , , ,
400086001023110, ,80068, , , , , , ,
400064001215110, ,80054, , , , , , ,
400064001908110, ,80010, , , , , , ,
111111111111122, ,40141A, , , , , , ,
111111111111122, ,40141B, , , , , , ,
395003001551110, ,60003, , , , , , ,
395001001002110, ,ASC049, , , , , , ,
395001001002110, ,ASC049, , , , , , ,
360001001033110, ,40177, , , , , , ,
400064001033110, ,80037, , , , , , ,
395001001701012, ,80059, , , , , , ,
380009001702012, ,80053, , , , , , ,
42639, ,80069, , , , , , ,
395001001701112, ,80059, , , , , , ,
380009001702112, ,80053, , , , , , ,
400064001912110, ,80061, , , , , , ,
400064001921110, ,80074, , , , , , ,
400064001073110, ,80029, , , , , , ,
395001001701112, ,80059, , , , , , ,
380009001702112, ,80053, , , , , , ,
395001001701012, ,80059, , , , , , ,
380009001702012, ,80053, , , , , , ,
37047, ,80035, , , , , , ,
400064001910110, ,80103, , , , , , ,
400064001056110, ,80111, , , , , , ,
395001001201110, ,50103, , , , , , ,
395001001202110, ,50104, , , , , , ,
395001001439110, ,70016, , , , , , ,
395001001443110, ,40155, , , , , , ,
395001001007110, ,ASC049, , , , , , ,
395001001203110, ,50105, , , , , , ,
395003001442110, ,60004, , , , , , ,
400064001914110, ,80044, , , , , , ,
400064001904110, ,80043, , , , , , ,
99980, ,ASC049, , , , , , ,
395003001448110, ,60005, , , , , , ,
400064001927110, ,80006, , , , , , ,
395001001103110, ,50022, , , , , , ,
395001001205110, ,50108, , , , , , ,
395001001443110, ,40155, , , , , , ,
400064001905110, ,80025, , , , , , ,
395001001102110, ,50010, , , , , , ,
34764, ,80009, , , , , , ,
34662, ,80007, , , , , , ,
37105, ,99000, , , , , , ,
395003001450110, ,60006, , , , , , ,
43048, ,80124, , , , , , ,
395001001435110, ,70017, , , , , , ,
111111111111122, ,40141G, , , , , , ,
395001001052110, ,40087, , , , , , ,
395003001458110, ,60015, , , , , , ,
395003001467110, ,60016, , , , , , ,
395001001103110, ,50022, , , , , , ,
400064001050110, ,80040, , , , , , ,
400093001440110, ,40276, , , , , , ,
395001001007110, ,ASC049, , , , , , ,
395001001007110, ,ASC049, , , , , , ,
395003001473110, ,60019, , , , , , ,
395003001474110, ,60020, , , , , , ,
395003001471110, ,60021, , , , , , ,
395001001105110, ,50107, , , , , , ,
395001001130110, ,50097, , , , , , ,
395001001195110, ,50091, , , , , , ,
395001001194110, ,50062, , , , , , ,
395001001207110, ,50058, , , , , , ,
395001001211110, ,50089, , , , , , ,
395001001190110, ,50093, , , , , , ,
395003001472110, ,60022, , , , , , ,
395003001475110, ,60023, , , , , , ,
395001001210110, ,50115, , , , , , ,
395001001212110, ,50116, , , , , , ,
395001001213110, ,50118, , , , , , ,
395001001209110, ,50119, , , , , , ,
395003001479110, ,60026, , , , , , ,
395001001443110, ,40155, , , , , , ,
400086001022110, ,80051, , , , , , ,
395003001480110, ,60027, , , , , , ,
34832, ,80105, , , , , , ,
400086001005110, ,80022, , , , , , ,
395001001304110, ,50501, , , , , , ,
395001001214110, ,50108, , , , , , ,
400064001915110, ,80049, , , , , , ,
395003001481110, ,60028, , , , , , ,
395001001216110, ,50120, , , , , , ,
395003001482110, ,60029, , , , , , ,
395003001483110, ,60030, , , , , , ,
395001001307110, ,50504, , , , , , ,
ASC516, ,40132A, , , , , , ,
ASC516, ,40369, , , , , , ,
400064001020110, ,80053, , , , , , ,
400064001036110, ,80059, , , , , , ,
395001001447110, ,40110, , , , , , ,
400064001174110, ,50006A, , , , , , ,
400064001179110, ,40284, , , , , , ,
400064001061110, ,40184, , , , , , ,
400093001415110, ,80096, , , , , , ,
400093001417110, ,70010, , , , , , ,
400086001465110, ,40130, , , , , , ,
400086001516110, ,40369, , , , , , ,
400086001537110, ,40134, , , , , , ,
395001001215110, ,50117, , , , , , ,
395001001196110, ,50052, , , , , , ,
395003001460110, ,60011, , , , , , ,
395001001470110, ,70018, , , , , , ,
395001001308110, ,50505, , , , , , ,
395001001013110, ,70011, , , , , , ,
43825, ,80105, , , , , , ,
395001001511110, ,ASC049, , , , , , ,
395001001511110, ,ASC049, , , , , , ,
395001001511110, ,ASC049, , , , , , ,
395001001511110, ,ASC049, , , , , , ,
400093001421110, ,80020, , , , , , ,
396445001006110, ,40177, , , , , , ,
395001001309110, ,50503, , , , , , ,
395001001310110, ,50109, , , , , , ,
395001001311110, ,50502, , , , , , ,
400001001150110, ,40241, , , , , , ,
395001001434110, ,40254A, , , , , , ,
400093001404110, ,70014, , , , , , ,
395001001158110, ,40379, , , , , , ,
400064001928110, ,80064, , , , , , ,
400086001025110, ,80076, , , , , , ,
395001001312110, ,50110, , , , , , ,
395001001217110, ,50122, , , , , , ,
395001001486110, ,40384, , , , , , ,
395001001052110, ,40087, , , , , , ,
395001001447110, ,40110, , , , , , ,
400093001417110, ,70010, , , , , , ,
395001001777110, ,50123, , , , , , ,
400086001026110, ,80056, , , , , , ,
400086001027110, ,80024, , , , , , ,
360001001033110, ,40177, , , , , , ,
400086001028110, ,80087, , , , , , ,
395001001001110, ,70020, , , , , , ,
395001001001110, ,70020, , , , , , ,
395001001489110, ,70021, , , , , , ,
395001001219110, ,50126, , , , , , ,
395001001486110, ,40384, , , , , , ,
360001001409110, ,40308, , , , , , ,
395003001490110, ,60032, , , , , , ,
395001001313110, ,50506, , , , , , ,
400092001122110, ,40241, , , , , , ,
400086001437110, ,40390, , , , , , ,
400064001930110, ,80121, , , , , , ,
400086001012110, ,80031, , , , , , ,
395001001805122, ,40300, , , , , , ,
400064001863122, ,80130, , , , , , ,
395001001494110, ,40371, , , , , , ,
395003001488110, ,60033, , , , , , ,
395001001007110, ,ASC049, , , , , , ,
111111111111122, ,40177B, , , , , , ,
111111111111122, ,40177C, , , , , , ,
111111111111122, ,40177E, , , , , , ,
395001001497110, ,70024, , , , , , ,
395001001499110, ,40184, , , , , , ,
395003001495110, ,60034, , , , , , ,
395001001220110, ,50127, , , , , , ,
395001001500110, ,40184, , , , , , ,
395001001414110, ,40227, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
396445001006110, ,40177, , , , , , ,
396445001006110, ,40177C, , , , , , ,
395001001301110, ,50507, , , , , , ,
111111111111122, ,70025, , , , , , ,
400064001934110, ,80111, , , , , , ,
400086001013110, ,80031, , , , , , ,
400086001016110, ,80096, , , , , , ,
395003001476110, ,60035, , , , , , ,
400064001418110, ,50031, , , , , , ,
400064001907110, ,80115, , , , , , ,
395003001415110, ,60036, , , , , , ,
395001001102110, ,50010, , , , , , ,
395001001135110, ,50030, , , , , , ,
400086001031110, ,80072, , , , , , ,
395001001314110, ,50508, , , , , , ,
395003001101110, ,30501, , , , , , ,
395003001102110, ,30502, , , , , , ,
395003001103110, ,30503, , , , , , ,
400064001916110, ,80017, , , , , , ,
395009001703112, ,90500, , , , , , ,
395001001430110, ,70026, , , , , , ,
400086001032110, ,80092, , , , , , ,
400093001412110, ,40312, , , , , , ,
395003001104110, ,30504, , , , , , ,
395003001105110, ,30505, , , , , , ,
400093001440110, ,40276, , , , , , ,
395001001200110, ,70028, , , , , , ,
395001001315110, ,50509, , , , , , ,
395001001317110, ,50511, , , , , , ,
395001001316110, ,50510, , , , , , ,
396445001006110, ,40177F, , , , , , ,
395003001106110, ,30506, , , , , , ,
395003001107110, ,30507, , , , , , ,
395003001108110, ,30508, , , , , , ,
395003001109110, ,30509, , , , , , ,
395003001110110, ,30510, , , , , , ,
395003001111110, ,30511, , , , , , ,
395001001804122, ,40177R, , , , , , ,
YASH4, ,40177G, , , , , , ,
YASH2, ,40177P, , , , , , ,
YASH3, ,40177I, , , , , , ,
YASH6, ,40177K, , , , , , ,
YASH7, ,40177T, , , , , , ,
YASH8, ,40177N, , , , , , ,
YASH11, ,40177O, , , , , , ,
ASS804, ,40177Q, , , , , , ,
395001001436110, ,70027, , , , , , ,
400064001706012, ,80034, , , , , , ,
400064001706112, ,80034, , , , , , ,
395003001112110, ,30512, , , , , , ,
395001001013110, ,70011, , , , , , ,
400064001001110, ,50031, , , , , , ,
400064001418110, ,50031, , , , , , ,
400064001201110, ,50031, , , , , , ,
400064001002110, ,50004, , , , , , ,
400064001003110, ,50005, , , , , , ,
400064001004110, ,50003, , , , , , ,
395003001113110, ,30513, , , , , , ,
395003001114110, ,30514, , , , , , ,
400064001420110, ,ASC049, , , , , , ,
395003001115110, ,30515, , , , , , ,
395003001116110, ,30516, , , , , , ,
45628, ,75001, , , , , , ,
45629, ,75002, , , , , , ,
395001001707112, ,75003, , , , , , ,
38570, ,80049, , , , , , ,
34650, ,80013, , , , , , ,
395003001117110, ,30517, , , , , , ,
111111111111110, ,40368, , , , , , ,
395001001151110, ,50128, , , , , , ,
395001001707012, ,75003, , , , , , ,
395001001478110, ,40405, , , , , , ,
395001001318110, ,50512, , , , , , ,
395001001064110, ,40360, , , , , , ,
395001003101110, ,75005, , , , , , ,
395001001441110, ,70030, , , , , , ,
395003001118110, ,30518, , , , , , ,
395001003102110, ,75006, , , , , , ,
395003001119110, ,30519, , , , , , ,
395003001120110, ,30520, , , , , , ,
395003001121110, ,30521, , , , , , ,
395003001122110, ,30522, , , , , , ,
395003001123110, ,30523, , , , , , ,
395003001125110, ,30525, , , , , , ,
395003001126110, ,30526, , , , , , ,
395003001127110, ,30527, , , , , , ,
395003001128110, ,30528, , , , , , ,
395003001129110, ,30529, , , , , , ,
395001001446110, ,70031, , , , , , ,
395001001456110, ,40316, , , , , , ,
395001001459110, ,40317, , , , , , ,
