TerminalID,client_code,UserID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
3.95001E+14, ,50088, , , , , , ,
4.00064E+14, ,80010, , , , , , ,
3.60001E+14, ,40089A, , , , , , ,
35618, ,80052, , , , , , ,
4.00064E+14, ,80049, , , , , , ,
4.00064E+14, ,80118, , , , , , ,
4.00064E+14, ,80111, , , , , , ,
4.00001E+14, ,80028, , , , , , ,
4.00001E+14, ,80028, , , , , , ,
4.00001E+14, ,80012, , , , , , ,
4.00064E+14, ,80031, , , , , , ,
39076, ,70007, , , , , , ,
3.95001E+14, ,50090, , , , , , ,
3.95001E+14, ,40195, , , , , , ,
4.00001E+14, ,40196, , , , , , ,
3.95001E+14, ,80067, , , , , , ,
4.00064E+14, ,80043, , , , , , ,
4.00064E+14, ,80107, , , , , , ,
3.95003E+14, ,ASC049, , , , , , ,
37717, ,80012, , , , , , ,
3.95001E+14, ,99000, , , , , , ,
3.95001E+14, ,99000, , , , , , ,
34734, ,80048, , , , , , ,
3.95001E+14, ,70005, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,40360, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
4.00064E+14, ,80120, , , , , , ,
4.00064E+14, ,80042, , , , , , ,
4.00001E+14, ,40196, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
3.96445E+14, ,40130, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
37072, ,80001, , , , , , ,
3.60001E+14, ,40224, , , , , , ,
37072, ,80001, , , , , , ,
37788, ,80028, , , , , , ,
4.00064E+14, ,50040, , , , , , ,
3.95001E+14, ,70007A, , , , , , ,
37072, ,80001, , , , , , ,
3.95001E+14, ,50092, , , , , , ,
37072, ,80001, , , , , , ,
3.95001E+14, ,70003, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,40232, , , , , , ,
3.96445E+14, ,40300, , , , , , ,
4.00064E+14, ,50040, , , , , , ,
38541, ,80041, , , , , , ,
4.00064E+14, ,80121, , , , , , ,
3.95001E+14, ,40300, , , , , , ,
37788, ,80028, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00064E+14, ,80009, , , , , , ,
37788, ,80028, , , , , , ,
4.00064E+14, ,80061, , , , , , ,
4.00086E+14, ,80108, , , , , , ,
3.95001E+14, ,40102, , , , , , ,
42857, ,80090, , , , , , ,
4.00064E+14, ,80060, , , , , , ,
38023, ,80057, , , , , , ,
3.95001E+14, ,70113, , , , , , ,
4.00064E+14, ,80035, , , , , , ,
37072, ,80001, , , , , , ,
4.00064E+14, ,80115, , , , , , ,
37072, ,80001, , , , , , ,
4.00086E+14, ,80068, , , , , , ,
37788, ,80028, , , , , , ,
4.00064E+14, ,80025, , , , , , ,
, , , , , , , , ,
34862, ,80120, , , , , , ,
4.00086E+14, ,80096, , , , , , ,
3.95001E+14, ,50094, , , , , , ,
4.00007E+14, ,80096, , , , , , ,
37072, ,80001, , , , , , ,
4.00064E+14, ,80031, , , , , , ,
37788, ,80028, , , , , , ,
37717, ,80012, , , , , , ,
38578, ,80090, , , , , , ,
38508, ,80115, , , , , , ,
3.60001E+14, ,40269, , , , , , ,
3.95001E+14, ,50098, , , , , , ,
30859, ,30001, , , , , , ,
4.00064E+14, ,80033, , , , , , ,
4.00086E+14, ,80118, , , , , , ,
4.00086E+14, ,80104, , , , , , ,
34859, ,80069, , , , , , ,
4.00064E+14, ,80081, , , , , , ,
37919, ,80035, , , , , , ,
42360, ,80090, , , , , , ,
3.95001E+14, ,50100, , , , , , ,
3.95001E+14, ,50101, , , , , , ,
4.00064E+14, ,80080, , , , , , ,
4.00084E+14, ,80076, , , , , , ,
3.96445E+14, ,40177, , , , , , ,
4.00064E+14, ,80109, , , , , , ,
4.00064E+14, ,80085, , , , , , ,
4.00086E+14, ,80068, , , , , , ,
4.00064E+14, ,80054, , , , , , ,
4.00064E+14, ,80010, , , , , , ,
3.95003E+14, ,60003, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.60001E+14, ,40177, , , , , , ,
4.00064E+14, ,80037, , , , , , ,
3.95001E+14, ,80059, , , , , , ,
3.80009E+14, ,80053, , , , , , ,
42639, ,80069, , , , , , ,
3.95001E+14, ,80059, , , , , , ,
3.80009E+14, ,80053, , , , , , ,
4.00064E+14, ,80061, , , , , , ,
4.00064E+14, ,80074, , , , , , ,
4.00064E+14, ,80029, , , , , , ,
3.95001E+14, ,80059, , , , , , ,
3.80009E+14, ,80053, , , , , , ,
3.95001E+14, ,80059, , , , , , ,
3.80009E+14, ,80053, , , , , , ,
37047, ,80035, , , , , , ,
4.00064E+14, ,80103, , , , , , ,
4.00064E+14, ,80111, , , , , , ,
3.95001E+14, ,50103, , , , , , ,
3.95001E+14, ,50104, , , , , , ,
3.95001E+14, ,70016, , , , , , ,
3.95001E+14, ,40155, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,50105, , , , , , ,
3.95003E+14, ,60004, , , , , , ,
4.00064E+14, ,80044, , , , , , ,
4.00064E+14, ,80043, , , , , , ,
99980, ,ASC049, , , , , , ,
3.95003E+14, ,60005, , , , , , ,
4.00064E+14, ,80006, , , , , , ,
3.95001E+14, ,50022, , , , , , ,
3.95001E+14, ,50108, , , , , , ,
3.95001E+14, ,40155, , , , , , ,
4.00064E+14, ,80025, , , , , , ,
3.95001E+14, ,50010, , , , , , ,
34764, ,80009, , , , , , ,
34662, ,80007, , , , , , ,
37105, ,99000, , , , , , ,
3.95003E+14, ,60006, , , , , , ,
43048, ,80124, , , , , , ,
3.95001E+14, ,70017, , , , , , ,
3.95001E+14, ,40087, , , , , , ,
3.95003E+14, ,60015, , , , , , ,
3.95003E+14, ,60016, , , , , , ,
3.95001E+14, ,50022, , , , , , ,
4.00064E+14, ,80040, , , , , , ,
4.00093E+14, ,40276, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95003E+14, ,60019, , , , , , ,
3.95003E+14, ,60020, , , , , , ,
3.95003E+14, ,60021, , , , , , ,
3.95001E+14, ,50107, , , , , , ,
3.95001E+14, ,50097, , , , , , ,
3.95001E+14, ,50091, , , , , , ,
3.95001E+14, ,50062, , , , , , ,
3.95001E+14, ,50058, , , , , , ,
3.95001E+14, ,50089, , , , , , ,
3.95001E+14, ,50093, , , , , , ,
3.95003E+14, ,60022, , , , , , ,
3.95003E+14, ,60023, , , , , , ,
3.95001E+14, ,50115, , , , , , ,
3.95001E+14, ,50116, , , , , , ,
3.95001E+14, ,50118, , , , , , ,
3.95001E+14, ,50119, , , , , , ,
3.95003E+14, ,60026, , , , , , ,
3.95001E+14, ,40155, , , , , , ,
4.00086E+14, ,80051, , , , , , ,
3.95003E+14, ,60027, , , , , , ,
34832, ,80105, , , , , , ,
4.00086E+14, ,80022, , , , , , ,
3.95001E+14, ,50501, , , , , , ,
3.95001E+14, ,50108, , , , , , ,
4.00064E+14, ,80049, , , , , , ,
