ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
6405,NSEFO,151834,OPTSTK,VOLTAS,20221229,920.0,CE,0,0.0,4.4,0.0,70,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,152446,OPTSTK,WIPRO,20221229,410.0,CE,0,0.0,9.7,0.0,71,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,43695,OPTIDX,BANKNIFTY,20221208,42600.0,CE,0,0.0,752.4,0.0,72,-500,376200.0,-500,376200.0,0.0,0.0,-376200.0,0.0,
6405,NSEFO,42550,OPTIDX,BANKNIFTY,20221229,43200.0,PE,0,0.0,680.65,0.0,73,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50733,OPTIDX,BANKNIFTY,20221201,47500.0,CE,0,0.0,3.6,0.0,74,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50672,OPTIDX,BANKNIFTY,20221201,43700.0,PE,0,0.0,675.15,0.0,75,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50664,OPTIDX,BANKNIFTY,20221201,43600.0,CE,-1475,111322.5,72.2,0.0,76,-1700,122740.0,-3175,234062.5,0.0,0.0,-234062.5,111322.5,
6405,NSEFO,50621,OPTIDX,BANKNIFTY,20221201,43100.0,CE,-2700,583306.25,234.55,0.0,77,3700,-867835.0,1000,-284528.75,0.0,0.0,284528.75,583306.25,
6405,NSEFO,45446,OPTIDX,BANKNIFTY,20221201,37000.0,PE,0,0.0,2.3,0.0,78,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50677,OPTIDX,BANKNIFTY,20221201,43900.0,PE,0,0.0,845.35,0.0,79,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50577,OPTIDX,BANKNIFTY,20221201,42200.0,PE,2600,-84406.25,36.8,0.0,80,-3200,117759.99999999999,-600,33353.75,0.0,0.0,-33353.75,-84406.25,
6405,NSEFO,50590,OPTIDX,BANKNIFTY,20221201,42600.0,CE,0,0.0,564.6,0.0,81,-100,56460.0,-100,56460.0,0.0,0.0,-56460.0,0.0,
6405,NSEFO,53917,OPTIDX,FINNIFTY,20221129,19550.0,CE,5400,-7348.0,3.5,0.0,82,-5400,18900.0,0,11552.0,0.0,0.0,-11552.0,-7348.0,
6405,NSEFO,39830,OPTIDX,FINNIFTY,20221129,19000.0,PE,3320,42830.0,9.55,0.0,83,800,-7640.000000000001,4120,35190.0,0.0,0.0,-35190.0,42830.0,
6405,NSEFO,39841,OPTIDX,FINNIFTY,20221129,19400.0,CE,560,9852.0,15.0,0.0,84,720,-10800.0,1280,-948.0,0.0,0.0,948.0,9852.0,
6405,NSEFO,50056,OPTIDX,NIFTY,20221201,18550.0,CE,0,-59747.5,82.7,0.0,85,250,-20675.0,250,-80422.5,0.0,0.0,80422.5,-59747.5,
6405,NSEFO,50083,OPTIDX,NIFTY,20221201,18850.0,CE,1050,-4472.499999999999,7.65,0.0,86,-400,3060.0,650,-1412.499999999999,0.0,0.0,1412.499999999999,-4472.499999999999,
6405,NSEFO,50059,OPTIDX,NIFTY,20221201,18600.0,PE,100,267330.0,127.4,0.0,87,0,0.0,100,267330.0,0.0,0.0,-267330.0,267330.0,
6405,NSEFO,86411,OPTIDX,NIFTY,20221229,18300.0,PE,0,0.0,133.5,0.0,88,-1000,133500.0,-1000,133500.0,0.0,0.0,-133500.0,0.0,
RJ06022,NSEFO,50700,OPTIDX,BANKNIFTY,20221201,44500.0,CE,0,0.0,11.65,0.0,89,25,-291.25,25,-291.25,0.0,0.0,291.25,0.0,
SKB015,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,0.0,43291.85,0.0,90,25,-1082296.25,25,-1082296.25,0.0,0.0,0.0,0.0,
SSM171,NSEFO,138553,OPTSTK,MUTHOOTFIN,20221229,1100.0,CE,-375,11100.0,29.6,0.0,91,375,-11100.0,0,0.0,0.0,0.0,0.0,11100.0,
SSM171,NSEFO,143895,OPTSTK,TATACHEM,20221229,1000.0,CE,0,0.0,59.55,0.0,92,500,-29775.0,500,-29775.0,0.0,0.0,29775.0,0.0,
A1616,NSEFO,96712,OPTSTK,AMBUJACEM,20221229,580.0,CE,0,0.0,17.55,0.0,93,-1800,31590.0,-1800,31590.0,0.0,0.0,-31590.0,0.0,
