UserID,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,PrevDExpo_Mrg,PrevDSpan_Mrg,Total_Margin,Net_Prem,FUT_MTM,OPT_MTM,PRM_MRG,
14275,NSEFO,50588,OPTIDX,BANKNIFTY,20221201,42500.00,CE,0,0.0,0,0,56,100,-65025.0,100,-65025.0,0.0,0.0,0.0,-65025.0,0.0,0.0,0.0,
14275,NSEFO,50590,OPTIDX,BANKNIFTY,20221201,42600.00,CE,0,0.0,0,0,57,100,-56460.0,100,-56460.0,0.0,0.0,0.0,-56460.0,0.0,0.0,0.0,
14275,NSEFO,50592,OPTIDX,BANKNIFTY,20221201,42700.00,CE,0,0.0,0,0,58,100,-48910.0,100,-48910.0,0.0,0.0,0.0,-48910.0,0.0,0.0,0.0,
14275,NSEFO,50594,OPTIDX,BANKNIFTY,20221201,42800.00,CE,0,0.0,0,0,59,100,-41480.0,100,-41480.0,0.0,0.0,0.0,-41480.0,0.0,0.0,0.0,
14275,NSEFO,50606,OPTIDX,BANKNIFTY,20221201,42900.00,CE,0,12891.25,0,0,60,100,-34745.0,100,-21853.75,0.0,0.0,0.0,-47636.25,0.0,0.0,12891.25,
14275,NSEFO,50614,OPTIDX,BANKNIFTY,20221201,43000.00,CE,0,-10437.5,0,0,61,-1200,344100.0,-1200,333662.5,1051176,0.0,1051176,354537.5,0.0,0.0,-10437.5,
14275,NSEFO,50621,OPTIDX,BANKNIFTY,20221201,43100.00,CE,0,-31842.5,0,0,62,-3700,867835.0,-3700,835992.5,3241126,0.0,3241126,899677.5,0.0,0.0,-31842.5,
14275,NSEFO,50634,OPTIDX,BANKNIFTY,20221201,43200.00,CE,0,-14581.25,0,0,63,100,-18975.0,100,-33556.25,0.0,0.0,0.0,-4393.75,0.0,0.0,-14581.25,
14275,NSEFO,50652,OPTIDX,BANKNIFTY,20221201,43300.00,CE,0,46162.5,0,0,64,100,-15130.000000000002,100,31032.5,0.0,0.0,0.0,-61292.5,0.0,0.0,46162.5,
14275,NSEFO,50662,OPTIDX,BANKNIFTY,20221201,43500.00,CE,0,-96521.25,0,0,65,7750,-723850.0,7750,-820371.25,0.0,0.0,0.0,-627328.75,0.0,0.0,-96521.25,
14275,NSEFO,50664,OPTIDX,BANKNIFTY,20221201,43600.00,CE,0,4258.75,0,0,66,1700,-122740.0,1700,-118481.25,0.0,0.0,0.0,-126998.75,0.0,0.0,4258.75,
14275,NSEFO,50671,OPTIDX,BANKNIFTY,20221201,43700.00,CE,0,-8373.75,0,0,67,2550,-143692.5,2550,-152066.25,0.0,0.0,0.0,-135318.75,0.0,0.0,-8373.75,
14275,NSEFO,50673,OPTIDX,BANKNIFTY,20221201,43800.00,CE,0,-10455.0,0,0,68,900,-39825.0,900,-50280.0,0.0,0.0,0.0,-29370.0,0.0,0.0,-10455.0,
14275,NSEFO,50692,OPTIDX,BANKNIFTY,20221201,44000.00,CE,0,2300.0,0,0,69,8200,-224680.0,8200,-222380.0,0.0,0.0,0.0,-226980.0,0.0,0.0,2300.0,
14275,NSEFO,35249,OPTIDX,BANKNIFTY,20221201,44200.00,CE,0,0.0,0,0,70,-1600,28720.0,-1600,28720.0,1401568,0.0,1401568,28720.0,0.0,0.0,0.0,
14275,NSEFO,35269,OPTIDX,BANKNIFTY,20221201,44300.00,CE,0,0.0,0,0,71,4750,-73625.0,4750,-73625.0,0.0,0.0,0.0,-73625.0,0.0,0.0,0.0,
14275,NSEFO,50700,OPTIDX,BANKNIFTY,20221201,44500.00,CE,0,0.0,0,0,72,-7500,87375.0,-7500,87375.0,6569850,0.0,6569850,87375.0,0.0,0.0,0.0,
14275,NSEFO,50706,OPTIDX,BANKNIFTY,20221201,46000.00,CE,0,0.0,0,0,73,-2600,12220.0,-2600,12220.0,244.4,0.0,244.4,12220.0,0.0,0.0,0.0,
14275,NSEFO,43673,OPTIDX,BANKNIFTY,20221208,42500.00,CE,0,0.0,0,0,74,100,-82395.0,100,-82395.0,0.0,0.0,0.0,-82395.0,0.0,0.0,0.0,
14275,NSEFO,43695,OPTIDX,BANKNIFTY,20221208,42600.00,CE,0,0.0,0,0,75,500,-376200.0,500,-376200.0,0.0,0.0,0.0,-376200.0,0.0,0.0,0.0,
14275,NSEFO,43721,OPTIDX,BANKNIFTY,20221208,43000.00,CE,0,0.0,0,0,76,500,-245075.0,500,-245075.0,0.0,0.0,0.0,-245075.0,0.0,0.0,0.0,
14275,NSEFO,43755,OPTIDX,BANKNIFTY,20221208,43400.00,CE,0,0.0,0,0,77,500,-144475.0,500,-144475.0,0.0,0.0,0.0,-144475.0,0.0,0.0,0.0,
14275,NSEFO,43776,OPTIDX,BANKNIFTY,20221208,43800.00,CE,0,0.0,0,0,78,500,-76625.0,500,-76625.0,0.0,0.0,0.0,-76625.0,0.0,0.0,0.0,
14275,NSEFO,43778,OPTIDX,BANKNIFTY,20221208,43900.00,CE,0,0.0,0,0,79,100,-12880.000000000002,100,-12880.000000000002,0.0,0.0,0.0,-12880.000000000002,0.0,0.0,0.0,
14275,NSEFO,43780,OPTIDX,BANKNIFTY,20221208,44000.00,CE,0,0.0,0,0,80,6500,-715000.0,6500,-715000.0,0.0,0.0,0.0,-715000.0,0.0,0.0,0.0,
14275,NSEFO,50414,OPTIDX,BANKNIFTY,20221201,40000.00,PE,0,0.0,0,0,81,-4600,21620.0,-4600,21620.0,432.4,0.0,432.4,21620.0,0.0,0.0,0.0,
14275,NSEFO,50480,OPTIDX,BANKNIFTY,20221201,41000.00,PE,0,0.0,0,0,82,250,-1900.0,250,-1900.0,0.0,0.0,0.0,-1900.0,0.0,0.0,0.0,
14275,NSEFO,50506,OPTIDX,BANKNIFTY,20221201,41500.00,PE,0,0.0,0,0,83,-7500,94875.0,-7500,94875.0,6569850,0.0,6569850,94875.0,0.0,0.0,0.0,
14275,NSEFO,50518,OPTIDX,BANKNIFTY,20221201,41700.00,PE,0,0.0,0,0,84,-1400,22890.000000000004,-1400,22890.000000000004,1226372,0.0,1226372,22890.000000000004,0.0,0.0,0.0,
