ClientCode,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
CAV001,0,2217,4435,0,0,0,2217,
CAV022,0,2512,5024,0,0,0,2512,
CB108,0,1096,2192,0,0,0,1096,
CB112,0,456,912,0,0,0,456,
CB113,0,456,912,0,0,0,456,
CB114,0,458,916,0,0,0,458,
CB116,0,460,920,0,0,0,460,
CB118,0,460,920,0,0,0,460,
CB120,0,462,924,0,0,0,462,
DKM001,0,792,1585,0,0,0,792,
DKM002,0,1123,2247,0,0,0,1123,
DKM005,0,697,31522,0,0,0,30825,
EA007,0,0,0,0,0,0,0,
HJ011,0,2181,4975,0,0,0,2793,
HJ014,1441618,6864450,8306068,0,0,0,0,
HJ040,0,1082,2164,0,0,0,1082,
HJ043,0,1387,2775,0,0,0,1387,
HM001,0,0,0,0,0,0,0,
HNK013,21491,130063,151555,0,0,0,0,
HPV002,515807,1428693,1944500,0,0,0,0,
JAM01036,0,0,0,0,0,0,0,
JAM01080,0,775,1550,0,0,0,775,
JAM01114,0,1920,3840,0,0,0,1920,
KBS033,0,0,0,0,0,0,0,
KH032,0,-2500,-23000,0,0,0,-20500,
KH066,40841,173493,214334,0,0,0,0,
KH069,76198,330077,406275,0,0,0,0,
KH071,53487,225626,279113,0,0,0,0,
KH109,0,0,0,0,0,0,0,
KH266,90605,501949,592554,0,0,0,0,
KH289,95771,495078,590849,0,0,0,0,
KH294,48349,249869,298219,0,0,0,0,
KH298,45440,229741,275181,0,0,0,0,
KH405,26743,112813,139556,0,0,0,0,
KL002,0,-2985,-9420,0,0,0,-6435,
KS117,405144,1179150,1584294,0,0,0,0,
KS126,42294,185552,231359,0,0,0,3512,
KS145,87566,467860,555426,0,0,0,0,
KS150,38482,211800,250282,0,0,0,0,
M0225,0,0,0,0,0,0,0,
M0244,0,-7840,-39430,0,0,0,-31590,
M0819,18512,440,18865,0,0,0,-87,
MA007,0,-165,-165,0,0,0,0,
MA026,0,937,29895,0,0,0,28957,
MAL01018,0,-232,-422,0,0,0,-190,
MAL10002,0,-1625,-12150,0,0,0,-10525,
MAL19010,58517,9360,67877,0,0,0,0,
MALZG008,0,255,510,0,0,0,255,
MAN19003,64475,296565,362644,0,0,0,1603,
MAS05019,320359,2254304,2576650,0,0,0,1986,
MAS05045,117680,439616,557296,0,0,0,0,
MAS09025,0,-2147,2975,0,0,0,5122,
MAS09029,0,-300,-600,0,0,0,-300,
MAS15082,61774,396252,458026,0,0,0,0,
MAS44002,49392,47220,96612,0,0,0,0,
MAS44011,46937,220604,267541,0,0,0,0,
MAS44020,31139,125999,157139,0,0,0,0,
MAS44021,37226,305780,343006,0,0,0,0,
MAS44037,22102,139938,162040,0,0,0,0,
MAS44039,23196,21500,44696,0,0,0,0,
MAS44050,26471,160447,186919,0,0,0,0,
MASXA003,109511,663640,771838,0,0,0,-1313,
MASYC007,48067,307311,355378,0,0,0,0,
MASYV005,17174,58140,75314,0,0,0,0,
MASYV050,0,2537,5022,0,0,0,2484,
MB1337,0,2975,306555,0,0,0,303580,
MB144,0,-410,-410,0,0,0,0,
MB2133,0,-2670,-2670,0,0,0,0,
MDS002,0,171866,213767,0,0,0,41901,
MDS004,0,160787,321575,0,0,0,160787,
MDS005,0,159317,318635,0,0,0,159317,
MDS007,0,17962,35925,0,0,0,17962,
MDS009,0,17897,35795,0,0,0,17897,
MDS010,0,3948,7897,0,0,0,3948,
MDS012,0,39845,79690,0,0,0,39845,
MDS016,0,3938,7877,0,0,0,3938,
MHM01045,493084,2709297,3202382,0,0,0,0,
MHM01105,0,-23510,-23510,0,0,0,0,
MHM01179,148601,698322,846923,0,0,0,0,
MHM01213,202184,1205081,1407266,0,0,0,0,
MHMZB001,0,-1155,-1155,0,0,0,0,
MHMZB081,0,-2550,-2550,0,0,0,0,
MK010,0,0,0,0,0,0,0,
MK027,0,8427,64550,0,0,0,56122,
MM650,41523,170768,212291,0,0,0,0,
MM681,62284,256152,318437,0,0,0,0,
MM736,41523,170768,212291,0,0,0,0,
MM835,1255976,3908772,5164748,0,0,0,0,
MMM66008,0,-752,842,0,0,0,1595,
MNTZH002,0,5347,12715,0,0,0,7367,
MNTZM002,0,3230,-51312,0,0,0,-54542,
MTJ01010,0,-6573,-8735,0,0,0,-2162,
MU1TJPP001,415254,1062317,1546659,0,0,0,69087,
NK008,0,-8583,-17167,0,0,0,-8583,
NRD001,0,19801,39602,0,0,0,19801,
NRD009,0,56250,112500,0,0,0,56250,
PJ045,0,-1250,-2500,0,0,0,-1250,
PKR020,17245,73036,90281,0,0,0,0,
PKR027,26743,112813,139556,0,0,0,0,
PN004,0,-52,315,0,0,0,367,
PV805,0,217,5617,0,0,0,5400,
RJ02011,0,0,0,0,0,0,0,
RJ027022,0,0,0,0,0,0,0,
RJ027049,0,0,0,0,0,0,0,
RJ029005,21491,129913,151405,0,0,0,0,
RJ06012,0,0,0,0,0,0,0,
RJ06016,0,0,0,0,0,0,0,
RJ06022,21491,44935,66427,0,0,0,0,
SKB015,42983,19784,62768,0,0,0,0,
SKB041,42983,19784,62768,0,0,0,0,
SSM101,92563,338798,496937,0,0,0,65575,
SSM135,0,-506,-506,0,0,0,0,
SSM171,67970,-6070,94917,0,0,0,33017,
SSM189,97747,297205,420492,0,0,0,25540,
SSM234,0,3388,47249,0,0,0,43861,
SSS014,0,1387,3410,0,0,0,2022,
SSY333,0,6611,70736,0,0,0,64125,
SV008,0,-225,-225,0,0,0,0,
TG0044,0,0,0,0,0,0,0,
TG0084,0,292,584,0,0,0,292,
TG0320,92563,435152,527716,0,0,0,0,
TG0321,111076,520,111596,0,0,0,0,
TG0331,0,76,152,0,0,0,76,
TG0335,0,-16227,-59760,0,0,0,-43532,
TM0001,0,0,0,0,0,0,0,
V01037,0,-20480,-18035,0,0,0,2445,
V03036,0,-1471,-7236,0,0,0,-5764,
V11020,0,688,2661,0,0,0,1972,
V18003,644759,1792151,2436910,0,0,0,0,
V18034,0,297,595,0,0,0,297,
V20015,0,-1650,-1650,0,0,0,0,
V20098,0,62,4795,0,0,0,4732,
V22061,0,858,-35032,0,0,0,-35891,
V25009,0,238,238,0,0,0,0,
V25079,0,9000,18000,0,0,0,9000,
V27002,0,-1770,-2030,0,0,0,-260,
VJ375,0,-970,-970,0,0,0,0,
VJ398,0,-792,-792,0,0,0,0,
