UserID,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
30533,MARUTI,31568,138095,169663,0,0,0.0,0.0,
30533,NIFTY,0,57800,57800,0,0,0.0,0.0,
30533,PEL,23673,75982,99655,0,0,0.0,0.0,
30533,PNB,1140608,-9440,1131168,0,0,0.0,0.0,
30533,TATACHEM,54185,315030,369215,0,0,0.0,0.0,
30533,TATAMOTORS,86423,260775,347198,0,0,0.0,0.0,
30533,TORNTPOWER,0,0,0,0,0,0.0,0.0,
30533,TRENT,109041,243716,352757,0,0,0.0,0.0,
30535,AMBUJACEM,320156,489510,809666,0,0,0.0,0.0,
30535,CHAMBLFERT,286382,212040,498422,0,0,0.0,0.0,
30535,GODREJPROP,87868,246148,334016,0,0,0.0,0.0,
30535,PAGEIND,297570,125375,422946,0,0,0.0,0.0,
30535,PNB,1320704,-295520,1025183,0,0,0.0,0.0,
30535,TATACHEM,144494,279020,423514,0,0,0.0,0.0,
30535,TORNTPOWER,258221,41325,299546,0,0,0.0,0.0,
30536,PNB,60032,-244800,-318368,0,0,0.0,-133600.0,
30537,PNB,180096,12960,193056,0,0,0.0,0.0,
30538,BANDHANBNK,13806,46169,59976,0,0,0.0,0.0,
30538,COFORGE,20710,79593,103550,0,0,0.0,3247.5,
30538,IRCTC,44204,101605,134740,0,0,0.0,-11068.75,
30538,ZEEL,27237,57450,84687,0,0,0.0,0.0,
30539,PNB,420224,-5600,414624,0,0,0.0,0.0,
40026,AXISBANK,37285,185592,222877,0,0,0.0,0.0,
40026,BHARATFORG,59293,322160,381453,0,0,0.0,0.0,
40026,CUMMINSIND,57928,259776,317704,0,0,0.0,0.0,
40026,LTTS,27200,161718,188918,0,0,0.0,0.0,
40026,TATAMOTORS,129635,826329,955964,0,0,0.0,0.0,
40026,TATAPOWER,158830,962685,1121515,0,0,0.0,0.0,
40046,NIFTY,740510,744180,1484690,0,0,0.0,0.0,
40053,NIFTY,251773,1183614,1435388,0,0,0.0,0.0,
40077,NIFTY,0,154012,154012,0,0,0.0,0.0,
40087,NIFTY,0,266597,376595,0,0,0.0,109997.5,
40089A,ADANIENT,2116346,13267225,15383571,0,0,0.0,0.0,
40089A,ADANIPORTS,1231440,6777600,8009040,0,0,0.0,0.0,
40089A,AMBUJACEM,1707501,15607295,17314797,0,0,0.0,0.0,
40089A,BANKNIFTY,15538697,44893376,60839697,0,0,0.0,407622.5,
40089A,COROMANDEL,0,0,0,0,0,0.0,0.0,
40089A,HINDUNILVR,1172301,1141404,2313705,0,0,0.0,0.0,
40089A,LAURUSLABS,0,0,0,0,0,0.0,0.0,
40089A,LTI,518521,2974110,3492631,0,0,0.0,0.0,
40089A,NAUKRI,69205,438345,507550,0,0,0.0,0.0,
40089A,POLYCAB,0,0,0,0,0,0.0,0.0,
