ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
A0017,TATACHEM,126432,735070,861502,0,0,0,0,
A0017,TATACONSUM,99432,433620,533052,0,0,0,0,
A0017,TITAN,102193,458831,561025,0,0,0,0,
A0017,VOLTAS,101601,491295,592896,0,0,0,0,
A0018,TORNTPOWER,57382,273270,330652,0,0,0,0,
A0019,ADANIENT,34134,91952,126087,0,0,0,0,
A0019,ADANIPORTS,38482,52731,91213,0,0,0,0,
A0019,BHARATFORG,29646,102060,131706,0,0,0,0,
A0019,BPCL,40880,76788,118388,0,0,0,720,
A0019,GUJGASLTD,43058,64537,107596,0,0,0,0,
A0019,IBULHSGFIN,48352,94400,142752,0,0,0,0,
A0019,NIFTY,0,-360,-360,0,0,0,0,
A0019,TATAMOTORS,43211,140433,183645,0,0,0,0,
A0019,ZEEL,27237,112710,139947,0,0,0,0,
A0020,ADANIENT,68269,427975,496244,0,0,0,0,
A0020,ADANIPORTS,1539300,8472000,10011300,0,0,0,0,
A0020,AUROPHARMA,48725,268680,317405,0,0,0,0,
A0020,BANKBARODA,206203,857844,1064047,0,0,0,0,
A0020,BANKNIFTY,10488083,4717609,14805019,0,0,0,-400673,
A0020,BHARATFORG,59293,322160,381453,0,0,0,0,
A0020,BHEL,1174548,2790060,3964608,0,0,0,0,
A0020,BPCL,61321,284634,345955,0,0,0,0,
A0020,BSOFT,26744,176228,202972,0,0,0,0,
A0020,COALINDIA,0,0,0,0,0,0,0,
A0020,CUMMINSIND,57928,259776,317704,0,0,0,0,
A0020,FINNIFTY,2306028,237510,2464242,0,0,0,-79296,
A0020,GAIL,179179,857538,1036717,0,0,0,0,
A0020,GMRINFRA,64102,385200,449302,0,0,0,0,
A0020,GUJGASLTD,215293,1252875,1468168,0,0,0,0,
A0020,HDFC,197079,857808,1054887,0,0,0,0,
A0020,HDFCAMC,158976,731157,890133,0,0,0,0,
A0020,HDFCBANK,186838,755997,942835,0,0,0,0,
A0020,HDFCLIFE,293593,1278420,1572013,0,0,0,0,
A0020,HINDALCO,49738,315372,365111,0,0,0,0,
A0020,HINDCOPPER,189720,1433663,1623383,0,0,0,0,
A0020,IDEA,315560,3046400,3361960,0,0,0,0,
A0020,IDFCFIRSTB,91428,571050,662478,0,0,0,0,
A0020,INDIAMART,68978,458473,527452,0,0,0,0,
A0020,INDUSINDBK,0,0,0,0,0,0,0,
A0020,IOC,0,0,0,0,0,0,0,
A0020,ITC,0,-2400,-2400,0,0,0,0,
A0020,JINDALSTEL,341775,2373187,2714962,0,0,0,0,
A0020,KOTAKBANK,134988,562040,697028,0,0,0,0,
A0020,LTTS,27200,161718,188918,0,0,0,0,
A0020,MANAPPURAM,47544,299760,347304,0,0,0,0,
A0020,MARUTI,147318,315634,462952,0,0,0,0,
A0020,MCDOWELL-N,0,0,0,0,0,0,0,
A0020,MCX,21851,125348,147199,0,0,0,0,
