ARIHANT ,,,,,,,,,
46:Exposure Margin Report ,,,,,,,,,
Trade Date:23/09/2022 Exposure:3.50 Report Date:23/09/2022 ,,,,,,,,,
CLIENT_ID,Scrip,Net Qty,Cl.Price,Cl.Amt,Exposure Mrg,Span Mrg,Total Margin,% Margin,
14275,EO CE AMBUJACEM 27Oct22 615.0000,-1800,543.1,977580,102645.9,0,102645.9,10.5,
14275,EO CE AMBUJACEM 27Oct22 640.0000,27000,543.1,14663700,0,0,0,0,
14275,EO CE AMBUJACEM 27Oct22 645.0000,-1800,543.1,977580,102645.9,0,102645.9,10.5,
14275,EO CE AMBUJACEM 29Sep22 400.0000,-144000,540.45,77824800,8171604,0,8171604,10.5,
14275,EO CE AMBUJACEM 29Sep22 435.0000,21600,540.45,11673720,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 480.0000,-9000,540.45,4864050,510725.25,0,510725.25,10.5,
14275,EO CE AMBUJACEM 29Sep22 490.0000,5400,540.45,2918430,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 500.0000,23400,540.45,12646530,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 505.0000,9000,540.45,4864050,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 510.0000,9000,540.45,4864050,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 515.0000,9000,540.45,4864050,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 550.0000,-5400,540.45,2918430,306435.15,0,306435.15,10.5,
14275,EO CE AMBUJACEM 29Sep22 560.0000,30600,540.45,16537770,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 565.0000,12600,540.45,6809670,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 570.0000,14400,540.45,7782480,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 580.0000,18000,540.45,9728100,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 590.0000,28800,540.45,15564960,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 600.0000,3600,540.45,1945620,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 610.0000,10800,540.45,5836860,0,0,0,0,
14275,EO CE AMBUJACEM 29Sep22 620.0000,5400,540.45,2918430,0,0,0,0,
14275,EO PE AMBUJACEM 27Oct22 380.0000,-1800,543.1,977580,102645.9,0,102645.9,10.5,
14275,EO PE AMBUJACEM 27Oct22 440.0000,-1800,543.1,977580,102645.9,0,102645.9,10.5,
14275,EO PE AMBUJACEM 27Oct22 450.0000,-1800,543.1,977580,102645.9,0,102645.9,10.5,
14275,EO PE AMBUJACEM 27Oct22 500.0000,41400,543.1,22484340,0,0,0,0,
14275,EO PE AMBUJACEM 27Oct22 550.0000,3600,543.1,1955160,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 370.0000,21600,540.45,11673720,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 385.0000,3600,540.45,1945620,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 400.0000,-30600,540.45,16537770,1736465.85,0,1736465.85,10.5,
14275,EO PE AMBUJACEM 29Sep22 415.0000,-23400,540.45,12646530,1327885.65,0,1327885.65,10.5,
14275,EO PE AMBUJACEM 29Sep22 420.0000,-1800,540.45,972810,102145.05,0,102145.05,10.5,
14275,EO PE AMBUJACEM 29Sep22 430.0000,-16200,540.45,8755290,919305.45,0,919305.45,10.5,
14275,EO PE AMBUJACEM 29Sep22 435.0000,7200,540.45,3891240,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 450.0000,7200,540.45,3891240,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 455.0000,-3600,540.45,1945620,204290.1,0,204290.1,10.5,
14275,EO PE AMBUJACEM 29Sep22 460.0000,5400,540.45,2918430,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 470.0000,14400,540.45,7782480,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 480.0000,1800,540.45,972810,0,0,0,0,
14275,EO PE AMBUJACEM 29Sep22 490.0000,-3600,540.45,1945620,204290.1,0,204290.1,10.5,
14275,EO PE AMBUJACEM 29Sep22 495.0000,-3600,540.45,1945620,204290.1,0,204290.1,10.5,
14275,EO PE AMBUJACEM 29Sep22 500.0000,-12600,540.45,6809670,715015.35,0,715015.35,10.5,
14275,EO PE AMBUJACEM 29Sep22 510.0000,-7200,540.45,3891240,408580.2,0,408580.2,10.5,
